id;name;region;year;foreign_share;income_per_student;citations_per_staff;publications_per_staff;students_count;ege_avg;pps_salary;cluster;pca1;pca2;cluster_k3;cluster_k5;distance_to_center
1;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «АДЫГЕЙСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ»;Республика Адыгея;2025;13.32;333.47;1606.66;396.34;601.6;62.58;87.69;2;0.5117939873106582;-0.7318618289291572;0;0;1.4323770637967919
2;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""АЛТАЙСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ""";Алтайский край;2025;4.33;243.1;1951.8;612.51;194.9;60.49;83.04;2;-0.42971534535547995;-1.5603181801474817;0;0;1.0334957416290789
4;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «АЛТАЙСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ»;Алтайский край;2025;15.2;253.92;927.2;277.57;906.3;66.17;85.62;2;0.6695520189750922;-0.5954342912860191;0;0;1.9164431642583892
5;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «АМУРСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ»;Амурская область;2025;10.45;385.66;282.27;581.29;383.0;62.11;130.52;2;0.23454202703967322;-0.20011718100194945;0;0;1.3472502342022148
6;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""АМУРСКИЙ ГУМАНИТАРНО-ПЕДАГОГИЧЕСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""";Хабаровский край;2025;0.65;337.66;668.54;255.37;87.6;61.92;145.1;2;-0.7889362942087841;-0.3133819633947355;0;0;1.4634047704508106
9;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""АРМАВИРСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ""";Краснодарский край;2025;1.03;226.19;723.49;453.69;33.6;62.46;102.28;2;-1.2326174393508904;-1.0586095109840152;0;0;1.9058859790913913
11;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «АСТРАХАНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ В.Н.ТАТИЩЕВА»;Астраханская область;2025;23.51;227.22;1967.51;737.44;360.9;62.09;83.42;2;1.0932353670971038;-1.1352532786477976;0;0;3.176874222911983
12;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «БАЙКАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ»;Иркутская область;2025;3.18;268.07;3488.52;491.92;411.3;63.11;138.35;2;0.38353978067909733;-1.2237286630856985;0;0;1.1193519274723647
13;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «БАЛТИЙСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ «ВОЕНМЕХ» ИМ. Д.Ф. УСТИНОВА»;Санкт-Петербург;2025;4.33;404.09;99.09;136.66;442.0;65.75;172.39;2;-0.2233756015119795;0.8052194989433511;0;0;1.9864969166841673
14;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «БАШКИРСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМ. М. АКМУЛЛЫ»;Республика Башкортостан;2025;7.93;289.04;1493.1;850.41;287.3;64.13;108.3;2;0.3754166730709087;-1.0801232224893946;0;0;1.0002443009598643
17;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «БЕЛГОРОДСКИЙ ГОСУДАРСТВЕННЫЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ»;Белгородская область;2025;18.44;400.12;2873.65;550.65;1507.2;66.45;101.29;2;1.6934814558814328;-0.4777346807185611;0;2;2.6160213322732004
21;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""БЛАГОВЕЩЕНСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ""";Амурская область;2025;14.38;359.15;758.89;332.48;254.0;59.11;130.75;2;0.23772630198131403;-0.2768456769108033;0;0;1.6315208760804805
26;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «БРЯНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ АКАДЕМИКА И.Г. ПЕТРОВСКОГО»;Брянская область;2025;2.52;197.31;4767.1;897.49;171.5;65.87;87.97;2;0.04079534711385749;-1.89300570976749;0;0;1.6952476435247688
27;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «БУРЯТСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ ДОРЖИ БАНЗАРОВА»;Республика Бурятия;2025;3.15;316.46;484.7;615.33;712.2;63.32;120.27;2;0.06577772571901085;-0.8131235520350115;0;0;1.1250082977112394
